1777046648.175 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=6
1777046648.190 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.190 APP_START pkg=com.tencent.mobileqq pid=31937 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=3
1777046648.190 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.191 APP_START pkg=com.tencent.mobileqq pid=31938 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=4
1777046648.198 APP_START pkg=com.android.systemui pid=32687 tgid=2021 uid=10227 comm=binder:2021_10 cpu=5
1777046648.199 APP_START pkg=com.google.android.apps.nexuslauncher pid=29905 tgid=29885 uid=10229 comm=binder:29885_3 cpu=3
1777046648.199 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=7
1777046648.199 APP_START pkg=com.android.systemui pid=32687 tgid=2021 uid=10227 comm=binder:2021_10 cpu=7
1777046648.200 APP_START pkg=com.google.android.apps.nexuslauncher pid=29913 tgid=29885 uid=10229 comm=UiThreadHelper cpu=7
1777046648.200 APP_START pkg=com.android.systemui pid=2045 tgid=2021 uid=10227 comm=wmshell.main cpu=7
1777046648.201 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=7
1777046648.206 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.215 APP_START pkg=com.tencent.mobileqq pid=31938 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=2
1777046648.223 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.233 APP_START pkg=com.tencent.mobileqq pid=31938 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=7
1777046648.240 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.241 APP_START pkg=com.tencent.mobileqq pid=31988 tgid=31881 uid=10281 comm=qm-thread-1 cpu=6
1777046648.257 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.261 APP_START pkg=com.tencent.mobileqq pid=32001 tgid=31881 uid=10281 comm=beacon-thread-1 cpu=6
1777046648.268 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=1
1777046648.268 APP_START pkg=com.tencent.mobileqq pid=31937 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=5
1777046648.268 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=2
1777046648.270 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=6
1777046648.273 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.274 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=6
1777046648.274 APP_START pkg=com.google.android.apps.nexuslauncher pid=29918 tgid=29885 uid=10229 comm=RenderThread cpu=5
1777046648.275 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=6
1777046648.290 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.290 APP_START pkg=com.tencent.mobileqq pid=31938 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=5
1777046648.291 APP_START pkg=com.google.android.apps.nexuslauncher pid=29918 tgid=29885 uid=10229 comm=RenderThread cpu=7
1777046648.291 APP_START pkg=com.tencent.mobileqq pid=31938 tgid=31881 uid=10281 comm=NtStartup_pool_ cpu=5
1777046648.306 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.317 APP_START pkg=com.tencent.mobileqq pid=32018 tgid=31881 uid=10281 comm=RenderThread cpu=7
1777046648.323 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=7
1777046648.327 APP_START pkg=com.tencent.mobileqq pid=32027 tgid=31881 uid=10281 comm=GdtSubThread cpu=2
1777046648.338 APP_START pkg=com.tencent.mobileqq:MSF pid=19651 tgid=19651 uid=10281 comm=nt.mobileqq:MSF cpu=0
1777046648.339 APP_START pkg=com.tencent.mobileqq pid=31881 tgid=31881 uid=10281 comm=encent.mobileqq cpu=7
1777046648.340 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
