tid,comm,on_cpu_ms,migration_count,wakeup_to_run_count,wakeup_to_run_p95_ms,wakeup_to_run_p99_ms,runnable_delay_count,runnable_delay_p95_ms,runnable_delay_p99_ms,sched_switch_in,sched_switch_out,sched_waking,sched_wakeup,critical_score,score_basis
16550,Compositor,2364.842,6097,9730,0.217,0.347,104,0.136,0.22,11106,11105,9732,9732,92.765,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5488,VizCompositorTh,2185.825,5200,8251,0.174,0.453,392,0.114,0.248,9244,9244,8251,8251,91.887,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5507,CompositorGpuTh,2885.912,5303,11492,0.055,0.206,94,0.14,0.266,13255,13256,11701,11701,91.56,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
16544,CrRendererMain,1392.556,3063,4769,0.286,0.558,262,0.172,0.28,5045,5046,4769,4769,86.056,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3719,.android.chrome,1733.75,3627,4995,0.263,0.509,506,0.128,0.395,5740,5739,4995,4995,85.621,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
652,RenderEngine,739.978,709,1394,0.066,0.149,3,0.047,0.047,1397,1396,1734,1734,84.762,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5414,CrGpuMain,361.197,1261,2735,0.119,0.259,28,0.193,0.194,2833,2833,2980,2980,80.739,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
4077,Chrome_IOThread,428.633,2570,4000,0.3,0.51,37,0.115,0.38,4067,4066,4004,4004,76.882,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
2044,RenderThread,80.614,90,170,0.188,0.338,20,0.27,0.58,226,226,173,173,75.63,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5487,Chrome_ChildIOT,244.816,1729,2450,0.176,0.29,20,0.19,0.231,2501,2501,2450,2450,73.81,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
16548,Chrome_ChildIOT,58.824,443,603,0.19,0.401,21,0.098,0.153,635,635,603,603,63.7,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3960,RenderThread,0.271,3,5,3.473,3.473,0,0.0,0.0,5,5,5,5,61.598,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
10994,RenderThread,3.357,24,36,0.141,0.24,4,0.233,0.233,40,40,36,36,59.412,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
4639,RenderThread,0.065,2,3,6.424,6.424,0,0.0,0.0,3,3,3,3,59.373,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
12482,RenderThread,0.026,0,1,2.172,2.172,0,0.0,0.0,1,1,1,1,53.955,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
11633,Chrome_IOThread,0.556,2,3,7.258,7.258,0,0.0,0.0,3,3,3,3,43.47,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5290,CronetInit,1.825,2,5,18.675,18.675,4,1.477,1.477,13,13,5,5,39.893,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
15456,CrRendererMain,5.057,3,5,0.059,0.059,0,0.0,0.0,5,5,5,5,37.59,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
12536,Chrome_ChildIOT,0.022,0,1,2.23,2.23,0,0.0,0.0,1,1,1,1,37.408,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
12509,Chrome_IOThread,0.035,0,1,2.212,2.212,0,0.0,0.0,1,1,1,1,37.301,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
15409,Chrome_ChildIOT,0.812,0,4,1.753,1.753,0,0.0,0.0,4,4,4,4,37.24,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
15405,CrRendererMain,5.45,0,4,0.094,0.094,0,0.0,0.0,4,4,4,4,33.643,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
15462,Compositor,0.098,0,1,0.144,0.144,0,0.0,0.0,1,1,1,1,32.928,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
15460,Chrome_ChildIOT,0.61,1,4,0.048,0.048,0,0.0,0.0,4,4,4,4,25.264,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
11611,Chrome_ProcessL,0.396,1,2,7.304,7.304,0,0.0,0.0,2,2,2,2,23.358,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3374,CronetInit,0.781,0,2,2.518,2.518,0,0.0,0.0,3,3,2,2,22.056,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
8116,Primes-nativecr,0.057,0,1,3.783,3.783,0,0.0,0.0,1,1,1,1,19.666,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
8287,CronetInit,0.056,0,1,4.037,4.037,0,0.0,0.0,1,1,1,1,19.663,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3218,yt-critical Thr,0.024,0,1,2.514,2.514,0,0.0,0.0,1,1,1,1,19.574,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
6733,Primes-nativecr,0.024,0,1,2.47,2.47,0,0.0,0.0,1,1,1,1,19.574,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3217,yt-critical Thr,0.021,0,1,2.504,2.504,0,0.0,0.0,1,1,1,1,19.565,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3178,yt-critical Thr,0.021,0,1,2.465,2.465,0,0.0,0.0,1,1,1,1,19.565,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3187,yt-critical Thr,0.02,0,1,2.49,2.49,0,0.0,0.0,1,1,1,1,19.562,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3215,yt-critical Thr,0.02,0,1,2.498,2.498,0,0.0,0.0,1,1,1,1,19.562,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3177,yt-critical Thr,0.02,0,1,2.468,2.468,0,0.0,0.0,1,1,1,1,19.562,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3180,yt-critical Thr,0.02,0,1,2.481,2.481,0,0.0,0.0,1,1,1,1,19.562,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3179,yt-critical Thr,0.019,0,1,2.474,2.474,0,0.0,0.0,1,1,1,1,19.56,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
4691,scroll-bg-task,0.018,0,1,6.444,6.444,0,0.0,0.0,1,1,1,1,19.557,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
11674,VizWebView,0.015,0,1,7.333,7.333,0,0.0,0.0,1,1,1,1,19.548,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
12535,Chrome_InProcGp,0.036,0,1,2.234,2.234,0,0.0,0.0,1,1,1,1,19.48,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
12533,VizWebView,0.024,0,1,2.229,2.229,0,0.0,0.0,1,1,1,1,19.406,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
12502,Chrome_ProcessL,0.026,0,1,2.188,2.188,0,0.0,0.0,1,1,1,1,19.083,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5508,GpuWatchdog_Com,0.166,1,2,0.077,0.077,0,0.0,0.0,2,2,2,2,17.453,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
5434,GpuWatchdog,0.152,1,2,0.047,0.047,0,0.0,0.0,2,2,2,2,17.178,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
16329,ConscryptStatsL,0.076,1,2,4.674,4.674,0,0.0,0.0,2,2,2,2,10.604,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
16459,ConscryptStatsL,0.073,1,2,3.056,3.056,0,0.0,0.0,2,2,2,2,10.596,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
3389,Primes-nativecr,0.023,0,1,0.248,0.248,0,0.0,0.0,1,1,1,1,3.555,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
