tid,comm,on_cpu_ms,migration_count,wakeup_to_run_count,wakeup_to_run_p95_ms,wakeup_to_run_p99_ms,runnable_delay_count,runnable_delay_p95_ms,runnable_delay_p99_ms,sched_switch_in,sched_switch_out,sched_waking,sched_wakeup,critical_score,score_basis
25167,RenderThread,11078.226,3030,10938,0.454,0.671,39,0.263,0.536,15586,15586,11031,11031,100.736,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
649,RenderEngine,1417.18,657,1588,0.153,0.316,3,0.998,0.998,1591,1591,1947,1947,93.999,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25132,.android.chrome,5031.003,3139,5257,0.573,0.684,143,0.348,0.518,5473,5472,5257,5257,89.972,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
600,surfaceflinger,6250.098,1520,6260,0.253,0.379,25,0.115,0.123,6305,6304,6262,6262,79.927,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
2067,RenderThread,115.032,77,189,0.325,0.537,3,0.234,0.234,224,224,191,191,77.24,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
702,surfaceflinger,57.855,725,907,0.777,3.478,18,0.302,0.46,932,932,907,907,72.289,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
1216,system_server,35.24,68,98,0.592,1.226,17,1.264,1.648,124,124,98,98,65.476,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
1312,system_server,9.841,33,68,0.49,0.891,0,0.0,0.0,69,69,68,68,48.222,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25252,CrGpuMain,5.875,2,6,0.187,0.187,0,0.0,0.0,6,6,6,6,38.483,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25218,Chrome_IOThread,3.213,6,8,0.378,0.378,0,0.0,0.0,8,8,8,8,35.592,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25212,CrRendererMain,3.214,1,4,0.094,0.094,0,0.0,0.0,4,4,4,4,34.417,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25272,Chrome_ChildIOT,1.419,2,4,0.104,0.104,0,0.0,0.0,4,4,4,4,28.064,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25311,GpuWatchdog_Com,1.031,1,2,0.094,0.094,0,0.0,0.0,2,2,2,2,19.195,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25257,GpuWatchdog,0.293,1,2,0.04,0.04,0,0.0,0.0,2,2,2,2,17.456,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
2221,ScreenDecoratio,0.32,1,4,0.129,0.129,0,0.0,0.0,4,4,4,4,7.337,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25169,Chrome_ProcessL,0.616,0,1,0.08,0.08,0,0.0,0.0,1,1,1,1,3.535,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
25635,allocateBuffers,0.842,0,0,0.0,0.0,0,0.0,0.0,4,4,0,0,1.768,role+wakeup_p95+runnable_p95+on_cpu+migration+wakeup_count-background_penalty
