"frame_type","frame_token","intended_vsync","expected_start","expected_end","actual_end","is_jank","delay_ms"
"SF",3179043,448218830547566,448218830547566,448218847214232,448218816696763,1,-13.850803
"SF",3179068,448218847259519,448218847259519,448218863926185,448218833573838,1,-13.685681
"SF",3179093,448218863973721,448218863973721,448218880640387,448218850835191,1,-13.138530
"SF",3179118,448218880686602,448218880686602,448218897353268,448218868852077,1,-11.834525
"SF",3179143,448218897394878,448218897394878,448218914061544,448218885087876,1,-12.307002
"SF",3179168,448218914113301,448218914113301,448218930779967,448218901671332,1,-12.441969
"SF",3179193,448218930823156,448218930823156,448218947489822,448218918422634,1,-12.400522
"SF",3179218,448218947530354,448218947530354,448218964197020,448218934507554,1,-13.022800
"SF",3179249,448218964245635,448218964245635,448218980912301,448218952504706,1,-11.740929
"SF",3179274,448218980960813,448218980960813,448218997627479,448218968590928,1,-12.369885
"SF",3179299,448218997670184,448218997670184,448219014336850,448218982990342,1,-14.679842
"SF",3179312,448219014403518,448219014403518,448219031070184,448218999496242,1,-14.907276
"SF",3179325,448219031124393,448219031124393,448219047791059,448219017776150,1,-13.348243
"SF",3179338,448219047843695,448219047843695,448219064510361,448219033508653,1,-14.335042
"SF",3179351,448219064557518,448219064557518,448219081224184,448219050679999,1,-13.877519
"SF",3179364,448219081267435,448219081267435,448219097934101,448219066731879,1,-14.535556
"SF",3179377,448219097990360,448219097990360,448219114657026,448219083236680,1,-14.753680
"SF",3179390,448219114702813,448219114702813,448219131369479,448219102046902,1,-12.655911
"SF",3179403,448219131426400,448219131426400,448219148093066,448219118364488,1,-13.061912
"SF",3179416,448219148145809,448219148145809,448219164812475,448219133289537,1,-14.856272
"SF",3179429,448219164858703,448219164858703,448219181525369,448219149902859,1,-14.955844
"SF",3179442,448219181577382,448219181577382,448219198244048,448219167945665,1,-13.631717
"SF",3179455,448219198290368,448219198290368,448219214957034,448219185724310,1,-12.566058
"SF",3179468,448219215008254,448219215008254,448219231674920,448219202111192,1,-12.897062
"SF",3179481,448219231727095,448219231727095,448219248393761,448219218979600,1,-12.747495
"SF",3179494,448219248432479,448219248432479,448219265099145,448219235385972,1,-13.046507
"SF",3179513,448219265201988,448219265201988,448219281868654,448219252595933,1,-12.606055
"SF",3179526,448219281874065,448219281874065,448219298540731,448219268987494,1,-12.886571
"SF",3179545,448219298584179,448219298584179,448219315250845,448219285768703,1,-12.815476
"SF",3179558,448219315301871,448219315301871,448219331968537,448219302479560,1,-12.822311
"SF",3179571,448219332023730,448219332023730,448219348690396,448219319817572,1,-12.206158
"SF",3179584,448219348739086,448219348739086,448219365405752,448219336549018,1,-12.190068
"SF",3179597,448219365459037,448219365459037,448219382125703,448219353635443,1,-11.823594
"SF",3179610,448219382176553,448219382176553,448219398843219,448219369719428,1,-12.457125
"SF",3179623,448219398895100,448219398895100,448219415561766,448219386355618,1,-12.539482
"SF",3179636,448219415612665,448219415612665,448219432279331,448219402985948,1,-12.626717
"SF",3179649,448219432365826,448219432365826,448219449032492,448219419992214,1,-12.373612
"SF",3179674,448219465801589,448219465801589,448219482468255,448219453169867,1,-12.631722
"SF",3179687,448219482529112,448219482529112,448219499195778,448219470120388,1,-12.408724
"SF",3179700,448219499249884,448219499249884,448219515916550,448219486141628,1,-13.108256
"SF",3179713,448219515958012,448219515958012,448219532624678,448219502663560,1,-13.294452
"SF",3179726,448219532661859,448219532661859,448219549328525,448219519751085,1,-12.910774
"SF",3179739,448219549373671,448219549373671,448219566040337,448219535039740,1,-14.333931
"SF",3179752,448219566082727,448219566082727,448219582749393,448219552936632,1,-13.146095
"SF",3179765,448219582792812,448219582792812,448219599459478,448219569753485,1,-13.039327
"SF",3179778,448219599494462,448219599494462,448219616161128,448219586482082,1,-13.012380
"SF",3179791,448219616210250,448219616210250,448219632876916,448219603337633,1,-12.872617
"SF",3179804,448219632920388,448219632920388,448219649587054,448219619808254,1,-13.112134
"SF",3179817,448219649627870,448219649627870,448219666294536,448219636918809,1,-12.709061
"SF",3179830,448219666340771,448219666340771,448219683007437,448219653268988,1,-13.071783
"SF",3179843,448219683054407,448219683054407,448219699721073,448219670666165,1,-12.388242
"SF",3179856,448219699759740,448219699759740,448219716426406,448219686869696,1,-12.890044
"SF",3179869,448219716473705,448219716473705,448219733140371,448219704271267,1,-12.202438
"SF",3179882,448219733185261,448219733185261,448219749851927,448219720528062,1,-12.657199
"SF",3179895,448219749898796,448219749898796,448219766565462,448219736930081,1,-12.968715
"SF",3179908,448219766606676,448219766606676,448219783273342,448219751263048,1,-15.343628
"SF",3179921,448219783329641,448219783329641,448219799996307,448219769893989,1,-13.435652
"SF",3179934,448219800072504,448219800072504,448219816739170,448219787059679,1,-13.012825
"SF",3179947,448219816792778,448219816792778,448219833459444,448219803835924,1,-12.956854
"SF",3179960,448219833511539,448219833511539,448219850178205,448219820187649,1,-13.323890
"SF",3179973,448219850222348,448219850222348,448219866889014,448219836709540,1,-13.512808
"SF",3179986,448219866948072,448219866948072,448219883614738,448219853327135,1,-13.620937
"SF",3179999,448219883665644,448219883665644,448219900332310,448219870993435,1,-12.672209
"SF",3180012,448219900378268,448219900378268,448219917044934,448219886462429,1,-13.915839
"SF",3180025,448219917097623,448219917097623,448219933764289,448219904491686,1,-12.605937
"SF",3180038,448219933808396,448219933808396,448219950475062,448219919397732,1,-14.410664
"SF",3180051,448219950535099,448219950535099,448219967201765,448219937556790,1,-12.978309
"SF",3180064,448219967254308,448219967254308,448219983920974,448219953507595,1,-13.746713
"SF",3180077,448219983966873,448219983966873,448220000633539,448219970077338,1,-13.889535
"SF",3180090,448220000690066,448220000690066,448220017356732,448219987217597,1,-13.472469
"SF",3180103,448220017407870,448220017407870,448220034074536,448220002416531,1,-14.991339
"SF",3180116,448220034117485,448220034117485,448220050784151,448220020648017,1,-13.469468
"SF",3180129,448220050832576,448220050832576,448220067499242,448220037389024,1,-13.443552
"SF",3180142,448220067557573,448220067557573,448220084224239,448220054239814,1,-13.317759
"SF",3180155,448220084269161,448220084269161,448220100935827,448220070868517,1,-13.400644
"SF",3180168,448220100992967,448220100992967,448220117659633,448220087600369,1,-13.392598
"SF",3180181,448220117705945,448220117705945,448220134372611,448220104506131,1,-13.199814
"SF",3180194,448220134433163,448220134433163,448220151099829,448220121691800,1,-12.741363
"SF",3180207,448220151145301,448220151145301,448220167811967,448220137865058,1,-13.280243
"SF",3180220,448220167861259,448220167861259,448220184527925,448220155294583,1,-12.566676
"SF",3180233,448220184584508,448220184584508,448220201251174,448220170010566,1,-14.573942
"SF",3180246,448220201296380,448220201296380,448220217963046,448220188284695,1,-13.011685
