# tracer: nop
#
# entries-in-buffer/entries-written: 3089/3089   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
  surfaceflinger-606     [003] ..... 253154.852316: tracing_mark_write: I|606|Max (can't resolve refresh rate)
  surfaceflinger-606     [003] ..... 253154.852320: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852335: tracing_mark_write: I|606|Max 0.00 Hz  (0.92)
  surfaceflinger-606     [003] ..... 253154.852342: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852347: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852351: tracing_mark_write: B|606|applyPolicy
  surfaceflinger-606     [003] ..... 253154.852357: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852361: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852366: tracing_mark_write: B|606|initiateDisplayModeChanges
  surfaceflinger-606     [003] ..... 253154.852372: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852376: tracing_mark_write: H|606|CriticalWorkload|250304
  surfaceflinger-606     [003] ..... 253154.852392: tracing_mark_write: H|606|CriticalWorkload|250302
  surfaceflinger-606     [003] ..... 253154.852397: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852403: tracing_mark_write: G|606|CriticalWorkload|Composition|1
  surfaceflinger-606     [003] ..... 253154.852410: tracing_mark_write: B|606|composite 4058741
  surfaceflinger-606     [003] ..... 253154.852421: tracing_mark_write: C|606|PowerMode 4619827677550801152|2
  surfaceflinger-606     [003] ..... 253154.852428: tracing_mark_write: B|606|nextAnticipatedVSyncTimeFrom
  surfaceflinger-606     [003] ..... 253154.852435: tracing_mark_write: C|606|VSP-mode 4619827677550801152|0
  surfaceflinger-606     [003] ..... 253154.852440: tracing_mark_write: C|606|VSP-mode 4619827677550801152|0
  surfaceflinger-606     [003] ..... 253154.852449: tracing_mark_write: B|606|renderRate 60.00 Hz
  surfaceflinger-606     [003] ..... 253154.852457: tracing_mark_write: I|606|vsync in 31.09ms
  surfaceflinger-606     [003] ..... 253154.852461: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852465: tracing_mark_write: E|606
          <idle>-0       [000] dn.1. 253154.852488: cpu_idle: state=4294967295 cpu_id=0
          <idle>-0       [000] d..2. 253154.852506: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=ThreadPoolForeg next_pid=5081 next_prio=120
  surfaceflinger-606     [003] ..... 253154.852534: tracing_mark_write: B|606|present
  surfaceflinger-606     [003] ..... 253154.852539: tracing_mark_write: B|606|preComposition
  surfaceflinger-606     [003] ..... 253154.852544: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852549: tracing_mark_write: B|606|prepare
  surfaceflinger-606     [003] ..... 253154.852555: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852567: tracing_mark_write: B|606|present for Common Panel (4619827677550801152) vsyncIn 14.28ms
  surfaceflinger-606     [003] ..... 253154.852576: tracing_mark_write: B|606|updateCompositionState
  surfaceflinger-606     [003] ..... 253154.852587: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852592: tracing_mark_write: B|606|planComposition
  surfaceflinger-606     [003] ..... 253154.852597: tracing_mark_write: B|606|plan
 ThreadPoolForeg-5081    [000] d..2. 253154.852647: sched_switch: prev_comm=ThreadPoolForeg prev_pid=5081 prev_prio=120 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..1. 253154.852655: cpu_idle: state=0 cpu_id=0
  surfaceflinger-606     [003] ..... 253154.852704: tracing_mark_write: B|606|flattenLayers
  surfaceflinger-606     [003] ..... 253154.852739: tracing_mark_write: B|606|mergeWithCachedSets
  surfaceflinger-606     [003] ..... 253154.852758: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852763: tracing_mark_write: B|606|buildCachedSets
  surfaceflinger-606     [003] ..... 253154.852768: tracing_mark_write: B|606|findCandidateRuns
  surfaceflinger-606     [003] ..... 253154.852774: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852778: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852782: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852787: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852792: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852797: tracing_mark_write: B|606|writeCompositionState
  surfaceflinger-606     [003] ..... 253154.852861: tracing_mark_write: E|606
  surfaceflinger-606     [003] ..... 253154.852876: tracing_mark_write: B|606|prepareFrame
  surfaceflinger-606     [003] ..... 253154.852883: tracing_mark_write: B|606|chooseCompositionStrategy for Common Panel (4619827677550801152)
  surfaceflinger-606     [003] ..... 253154.852890: tracing_mark_write: B|606|getDeviceCompositionChanges
  surfaceflinger-606     [003] ..... 253154.852897: tracing_mark_write: B|606|NextFrameInterval 60_Hz
  surfaceflinger-606     [003] ..... 253154.852903: tracing_mark_write: B|606|HwcPresentOrValidateDisplay
  surfaceflinger-606     [003] ..... 253154.852971: binder_transaction: transaction=4267742 dest_node=318 dest_proc=609 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-606     [003] ..... 253154.852977: binder_transaction_alloc_buf: transaction=4267742 data_size=220 offsets_size=32 extra_buffers_size=48
  surfaceflinger-606     [003] d..5. 253154.853004: sched_waking: comm=binder:609_2 pid=609 prio=97 target_cpu=003
  surfaceflinger-606     [003] d..6. 253154.853021: sched_wakeup: comm=binder:609_2 pid=609 prio=97 target_cpu=003
  surfaceflinger-606     [003] ..... 253154.853028: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-606     [003] ..... 253154.853040: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
  surfaceflinger-606     [003] d..2. 253154.853062: sched_switch: prev_comm=surfaceflinger prev_pid=606 prev_prio=97 prev_state=S ==> next_comm=binder:609_2 next_pid=609 next_prio=97
    binder:609_2-609     [003] ..... 253154.853076: binder_transaction_received: transaction=4267742
          <idle>-0       [002] d..1. 253154.853132: cpu_idle: state=4294967295 cpu_id=2
          <idle>-0       [001] d..1. 253154.853132: cpu_idle: state=4294967295 cpu_id=1
          <idle>-0       [000] d..1. 253154.853133: cpu_idle: state=4294967295 cpu_id=0
          <idle>-0       [005] dn.1. 253154.853133: cpu_idle: state=4294967295 cpu_id=5
          <idle>-0       [005] d..2. 253154.853167: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=CompositorGpuTh next_pid=5111 next_prio=116
          <idle>-0       [002] d..1. 253154.853198: cpu_idle: state=0 cpu_id=2
          <idle>-0       [001] d..1. 253154.853213: cpu_idle: state=0 cpu_id=1
          <idle>-0       [000] d..1. 253154.853216: cpu_idle: state=0 cpu_id=0
    binder:609_2-609     [003] ..... 253154.853307: tracing_mark_write: B|609|presentDisplay for PrimaryDisplay(0)
    binder:609_2-609     [003] ..... 253154.853376: tracing_mark_write: B|609|Update
    binder:609_2-609     [003] ..... 253154.853392: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853406: tracing_mark_write: B|609|startPostProcessing
    binder:609_2-609     [003] ..... 253154.853418: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853428: tracing_mark_write: B|609|UpdatePresent
    binder:609_2-609     [003] ..... 253154.853446: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853490: tracing_mark_write: B|609|signalNonIdle
    binder:609_2-609     [003] d..2. 253154.853499: sched_waking: comm=DisplayHints pid=644 prio=112 target_cpu=000
 CompositorGpuTh-5111    [005] ..... 253154.853502: tracing_mark_write: B|4880|QueueSubmit
          <idle>-0       [000] dn.1. 253154.853522: cpu_idle: state=4294967295 cpu_id=0
    binder:609_2-609     [003] d..3. 253154.853522: sched_wakeup: comm=DisplayHints pid=644 prio=112 target_cpu=000
    binder:609_2-609     [003] ..... 253154.853531: tracing_mark_write: E|609
          <idle>-0       [000] d..2. 253154.853541: sched_switch: prev_comm=swapper/0 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=DisplayHints next_pid=644 next_prio=112
    binder:609_2-609     [003] ..... 253154.853548: tracing_mark_write: B|609|checkAtcHdrMode
    binder:609_2-609     [003] ..... 253154.853554: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853559: tracing_mark_write: B|609|deliverWinConfigData
    binder:609_2-609     [003] ..... 253154.853571: tracing_mark_write: B|609|waitLastRetireFence
    DisplayHints-644     [000] ..... 253154.853578: tracing_mark_write: C|609|HWCIdleHintTimer for PrimaryDisplay(0)|0
 CompositorGpuTh-5111    [005] d..3. 253154.853578: sched_waking: comm=mali-cmar-backe pid=5109 prio=110 target_cpu=000
    binder:609_2-609     [003] ..... 253154.853583: tracing_mark_write: E|609
 CompositorGpuTh-5111    [005] d..4. 253154.853592: sched_wakeup: comm=mali-cmar-backe pid=5109 prio=110 target_cpu=005
    DisplayHints-644     [000] d..2. 253154.853630: sched_switch: prev_comm=DisplayHints prev_pid=644 prev_prio=112 prev_state=S ==> next_comm=swapper/0 next_pid=0 next_prio=120
          <idle>-0       [000] d..1. 253154.853638: cpu_idle: state=0 cpu_id=0
    binder:609_2-609     [003] ..... 253154.853668: tracing_mark_write: B|609|setupCommitFromDisplayConfig
    binder:609_2-609     [003] ..... 253154.853676: tracing_mark_write: B|609|getBuffer
    binder:609_2-609     [003] ..... 253154.853687: tracing_mark_write: E|609
 CompositorGpuTh-5111    [005] d..2. 253154.853699: sched_switch: prev_comm=CompositorGpuTh prev_pid=5111 prev_prio=116 prev_state=D ==> next_comm=mali-cmar-backe next_pid=5109 next_prio=110
    binder:609_2-609     [003] ..... 253154.853707: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853712: tracing_mark_write: B|609|setupCommitFromDisplayConfig
    binder:609_2-609     [003] ..... 253154.853716: tracing_mark_write: B|609|getBuffer
    binder:609_2-609     [003] ..... 253154.853721: tracing_mark_write: E|609
    binder:609_2-609     [003] ..... 253154.853732: tracing_mark_write: E|609
 mali-cmar-backe-5109    [005] d..2. 253154.853737: sched_switch: prev_comm=mali-cmar-backe prev_pid=5109 prev_prio=110 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
          <idle>-0       [005] d..1. 253154.853742: cpu_idle: state=0 cpu_id=5
    binder:609_2-609     [003] ..... 253154.853752: tracing_mark_write: C|609|HWComposer: DPU Layer for PrimaryDisplay(0)|2
   traced_probes-1307    [004] d..3. 253154.853755: sched_waking: comm=traced pid=1308 prio=120 target_cpu=004
    binder:609_2-609     [003] ..... 253154.853761: tracing_mark_write: C|609|HWComposer: G2D Layer for PrimaryDisplay(0)|0
   traced_probes-1307    [004] dN.4. 253154.853769: sched_wakeup: comm=traced pid=1308 prio=120 target_cpu=004
    binder:609_2-609     [003] ..... 253154.853769: tracing_mark_write: C|609|HWComposer: GPU Layer for PrimaryDisplay(0)|0
    binder:609_2-609     [003] ..... 253154.853778: tracing_mark_write: C|609|HWComposer: RCD Layer for PrimaryDisplay(0)|0
