frame_number,intended_vsync_ns,expected_start_ns,expected_end_ns,actual_present_ns,is_jank,delay_ms
4041564,253123184176006,253123184176006,253123200776006,253123187373655,0,-13.402351
4041577,253123200884055,253123200884055,253123217484055,253123203785805,0,-13.698250
4041590,253123217593813,253123217593813,253123234193813,253123220893024,0,-13.300789
4041603,253123234301332,253123234301332,253123250901332,253123237421750,0,-13.479582
4041616,253123251014343,253123251014343,253123267614343,253123254190549,0,-13.423794
4041629,253123267724251,253123267724251,253123284324251,253123271206744,0,-13.117507
4041642,253123284431691,253123284431691,253123301031691,253123288378781,0,-12.652910
4041655,253123301143852,253123301143852,253123317743852,253123304658567,0,-13.085285
4041668,253123317852546,253123317852546,253123334452546,253123320960651,0,-13.491895
4041687,253123334561511,253123334561511,253123351161511,253123337873737,0,-13.287774
4041694,253123351270520,253123351270520,253123367870520,253123355661253,0,-12.209267
4041701,253123367979859,253123367979859,253123384579859,253123371957436,0,-12.622423
4041708,253123384686491,253123384686491,253123401286491,253123388471799,0,-12.814692
4041715,253123401394733,253123401394733,253123417994733,253123404312335,0,-13.682398
4041722,253123418101467,253123418101467,253123434701467,253123421238320,0,-13.463147
4041729,253123434831525,253123434831525,253123451431525,253123438404416,0,-13.027109
4041736,253123451549390,253123451549390,253123468149390,253123454460528,0,-13.688862
4041743,253123468257306,253123468257306,253123484857306,253123472982623,0,-11.874683
4041750,253123484962799,253123484962799,253123501562799,253123487980426,0,-13.582373
4041757,253123501670598,253123501670598,253123518270598,253123505075234,0,-13.195364
4041764,253123518395963,253123518395963,253123534995963,253123522122353,0,-12.873610
4041771,253123535097681,253123535097681,253123551697681,253123538880857,0,-12.816824
4041778,253123551801714,253123551801714,253123568401714,253123555418007,0,-12.983707
4041785,253123568505450,253123568505450,253123585105450,253123571643431,0,-13.462019
4041792,253123585215001,253123585215001,253123601815001,253123588569903,0,-13.245098
4041799,253123601919748,253123601919748,253123618519748,253123605485594,0,-13.034154
4041806,253123618624140,253123618624140,253123635224140,253123622086261,0,-13.137879
4041813,253123635328901,253123635328901,253123651928901,253123638659260,0,-13.269641
4041820,253123652033797,253123652033797,253123668633797,253123657031899,0,-11.601898
4041827,253123668739246,253123668739246,253123685339246,253123672101439,0,-13.237807
4041840,253123685441956,253123685441956,253123702041956,253123688644610,0,-13.397346
4041847,253123702149662,253123702149662,253123718749662,253123705376910,0,-13.372752
4041854,253123718854156,253123718854156,253123735454156,253123721962685,0,-13.491471
4041861,253123735556627,253123735556627,253123752156627,253123739243284,0,-12.913343
4041868,253123752259130,253123752259130,253123768859130,253123755696124,0,-13.163006
4041875,253123768978924,253123768978924,253123785578924,253123772801226,0,-12.777698
4041882,253123785684588,253123785684588,253123802284588,253123789384438,0,-12.900150
4041889,253123802390140,253123802390140,253123818990140,253123806027057,0,-12.963083
4041896,253123819113272,253123819113272,253123835713272,253123822119912,0,-13.593360
4041903,253123835819181,253123835819181,253123852419181,253123839101438,0,-13.317743
4041910,253123852537466,253123852537466,253123869137466,253123856870319,0,-12.267147
4041917,253123869241562,253123869241562,253123885841562,253123872588784,0,-13.252778
4041924,253123885969085,253123885969085,253123902569085,253123889989745,0,-12.579340
4041931,253123902675096,253123902675096,253123919275096,253123906034869,0,-13.240227
4041938,253123919382105,253123919382105,253123935982105,253123922606810,0,-13.375295
4041945,253123936089065,253123936089065,253123952689065,253123939878049,0,-12.811016
4041952,253123952794326,253123952794326,253123969394326,253123956004514,0,-13.389812
4041959,253123969500180,253123969500180,253123986100180,253123972844887,0,-13.255293
4042038,253124169990469,253124169990469,253124186590469,253124172934324,0,-13.656145
4042051,253124186698806,253124186698806,253124203298806,253124189923378,0,-13.375428
4042064,253124203407021,253124203407021,253124220007021,253124206602497,0,-13.404524
4042077,253124220114499,253124220114499,253124236714499,253124223121620,0,-13.592879
4042090,253124236805466,253124236805466,253124253405466,253124240089556,0,-13.315910
4042103,253124253530248,253124253530248,253124270130248,253124257284625,0,-12.845623
4042116,253124270222823,253124270222823,253124286822823,253124273735675,0,-13.087148
4042129,253124286919236,253124286919236,253124303519236,253124290098712,0,-13.420524
4042142,253124303619109,253124303619109,253124320219109,253124306710244,0,-13.508865
4042155,253124320319992,253124320319992,253124336919992,253124323557045,0,-13.362947
4042168,253124337028146,253124337028146,253124353628146,253124340117836,0,-13.510310
4042181,253124353730562,253124353730562,253124370330562,253124357339231,0,-12.991331
4042194,253124370433691,253124370433691,253124387033691,253124373642576,0,-13.391115
4042207,253124387137637,253124387137637,253124403737637,253124390477781,0,-13.259856
4042220,253124403848640,253124403848640,253124420448640,253124407022417,0,-13.426223
4042233,253124420554349,253124420554349,253124437154349,253124424401325,0,-12.753024
4042246,253124437261293,253124437261293,253124453861293,253124440858803,0,-13.002490
4042259,253124453969146,253124453969146,253124470569146,253124456911945,0,-13.657201
4042272,253124470677234,253124470677234,253124487277234,253124473898884,0,-13.378350
4042285,253124487384386,253124487384386,253124503984386,253124490681679,0,-13.302707
4042298,253124504094202,253124504094202,253124520694202,253124507319213,0,-13.374989
4042311,253124520802036,253124520802036,253124537402036,253124524240435,0,-13.161601
4042324,253124537513560,253124537513560,253124554113560,253124540328571,0,-13.784989
4042337,253124554227330,253124554227330,253124570827330,253124557432941,0,-13.394389
4042350,253124570936071,253124570936071,253124587536071,253124574173338,0,-13.362733
4042363,253124587655903,253124587655903,253124604255903,253124591552326,0,-12.703577
4042376,253124604366946,253124604366946,253124620966946,253124607713418,0,-13.253528
4042395,253124621080146,253124621080146,253124637680146,253124624289386,0,-13.390760
4042402,253124637789306,253124637789306,253124654389306,253124640807331,0,-13.581975
4042409,253124654499492,253124654499492,253124671099492,253124657549071,0,-13.550421
4042416,253124671207695,253124671207695,253124687807695,253124674753254,0,-13.054441
4042423,253124687915753,253124687915753,253124704515753,253124690967202,0,-13.548551
4042430,253124704623507,253124704623507,253124721223507,253124707461464,0,-13.762043
4042437,253124721332926,253124721332926,253124737932926,253124725127480,0,-12.805446
4042444,253124738037841,253124738037841,253124754637841,253124741659503,0,-12.978338
4042451,253124754744341,253124754744341,253124771344341,253124759035806,0,-12.308535
4042458,253124771448741,253124771448741,253124788048741,253124774845621,0,-13.203120
4042465,253124788153878,253124788153878,253124804753878,253124791369465,0,-13.384413
4042472,253124804860032,253124804860032,253124821460032,253124807673094,0,-13.786938
4042479,253124821564017,253124821564017,253124838164017,253124824907387,0,-13.256630
4042486,253124838268727,253124838268727,253124854868727,253124840981240,0,-13.887487
4042493,253124854974494,253124854974494,253124871574494,253124858938679,0,-12.635815
4042500,253124871681352,253124871681352,253124888281352,253124875705809,0,-12.575543
4042507,253124888416496,253124888416496,253124905016496,253124892289468,0,-12.727028
4042514,253124905140619,253124905140619,253124921740619,253124908537922,0,-13.202697
4042521,253124921841212,253124921841212,253124938441212,253124924675495,0,-13.765717
4042528,253124938543591,253124938543591,253124955143591,253124941995888,0,-13.147703
4042535,253124955245546,253124955245546,253124971845546,253124958418699,0,-13.426847
4042542,253124971950459,253124971950459,253124988550459,253124976240762,0,-12.309697
4042549,253124988654350,253124988654350,253125005254350,253124994842447,0,-10.411903
4042556,253125005394574,253125005394574,253125021994574,253125011329507,0,-10.665067
4042563,253125022102265,253125022102265,253125038702265,253125025514769,0,-13.187496
4042570,253125038809366,253125038809366,253125055409366,253125042145181,0,-13.264185
4042577,253125055514864,253125055514864,253125072114864,253125059125202,0,-12.989662
4042584,253125072218325,253125072218325,253125088818325,253125075397663,0,-13.420662
4042591,253125088924257,253125088924257,253125105524257,253125092502969,0,-13.021288
4042598,253125105629593,253125105629593,253125122229593,253125109264810,0,-12.964783
4042605,253125122333862,253125122333862,253125138933862,253125126868081,0,-12.065781
4042612,253125139040014,253125139040014,253125155640014,253125142083373,0,-13.556641
4042619,253125155744827,253125155744827,253125172344827,253125159015421,0,-13.329406
4042626,253125172450049,253125172450049,253125189050049,253125175362426,0,-13.687623
4042633,253125189156188,253125189156188,253125205756188,253125192928913,0,-12.827275
4042640,253125205862298,253125205862298,253125222462298,253125209745074,0,-12.717224
4042647,253125222588255,253125222588255,253125239188255,253125226173379,0,-13.014876
4042654,253125239411077,253125239411077,253125256011077,253125242994220,0,-13.016857
4042661,253125256111065,253125256111065,253125272711065,253125258939818,0,-13.771247
4042746,253125473330814,253125473330814,253125489930814,253125476349772,0,-13.581042
4042759,253125490043162,253125490043162,253125506643162,253125493322752,0,-13.320410
4042772,253125506755390,253125506755390,253125523355390,253125510213867,0,-13.141523
4042785,253125523436572,253125523436572,253125540036572,253125527516112,0,-12.520460
4042798,253125540115004,253125540115004,253125556715004,253125543147093,0,-13.567911
4042811,253125556792159,253125556792159,253125573392159,253125560029214,0,-13.362945
4042824,253125573483036,253125573483036,253125590083036,253125576715697,0,-13.367339
4042837,253125590178929,253125590178929,253125606778929,253125593553140,0,-13.225789
4042850,253125606874278,253125606874278,253125623474278,253125610288817,0,-13.185461
4042863,253125623578241,253125623578241,253125640178241,253125626985065,0,-13.193176
4042876,253125640284868,253125640284868,253125656884868,253125644130492,0,-12.754376
4042889,253125656989185,253125656989185,253125673589185,253125660127684,0,-13.461501
4042902,253125673693733,253125673693733,253125690293733,253125676878011,0,-13.415722
4042915,253125690402689,253125690402689,253125707002689,253125693761962,0,-13.240727
4042928,253125707108785,253125707108785,253125723708785,253125710356607,0,-13.352178
4042941,253125723814838,253125723814838,253125740414838,253125727144530,0,-13.270308
4042954,253125740519895,253125740519895,253125757119895,253125743649331,0,-13.470564
4042967,253125757225363,253125757225363,253125773825363,253125761219643,0,-12.605720
4042980,253125773971603,253125773971603,253125790571603,253125777124021,0,-13.447582
4042993,253125790684865,253125790684865,253125807284865,253125793888955,0,-13.395910
4043006,253125807399831,253125807399831,253125823999831,253125810689290,0,-13.310541
4043019,253125824114812,253125824114812,253125840714812,253125827505939,0,-13.208873
4043032,253125840833520,253125840833520,253125857433520,253125844761514,0,-12.672006
4043045,253125857558068,253125857558068,253125874158068,253125860718260,0,-13.439808
4043058,253125874266717,253125874266717,253125890866717,253125877392536,0,-13.474181
4043071,253125890973189,253125890973189,253125907573189,253125894384439,0,-13.188750
4043090,253125907678072,253125907678072,253125924278072,253125911362588,0,-12.915484
4043097,253125924388629,253125924388629,253125940988629,253125927497964,0,-13.490665
4043104,253125941092945,253125941092945,253125957692945,253125944215779,0,-13.477166
4043111,253125957798720,253125957798720,253125974398720,253125961386555,0,-13.012165
4043118,253125974504836,253125974504836,253125991104836,253125977810464,0,-13.294372
4043125,253125991206886,253125991206886,253126007806886,253125995183999,0,-12.622887
4043132,253126007910837,253126007910837,253126024510837,253126011234496,0,-13.276341
4043139,253126024615640,253126024615640,253126041215640,253126027572997,0,-13.642643
