# tracer: nop
#
# entries-in-buffer/entries-written: 1523/181595   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 UnityGfxDeviceW-31394   [006] ..... 86325.043516: binder_transaction: transaction=3913077 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
  binder:31215_3-31225   [007] ..... 86325.043540: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [006] ..... 86325.043578: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  binder:31215_3-31225   [007] ..... 86325.055682: binder_transaction_received: transaction=3913083
  binder:31215_3-31225   [007] ..... 86325.055876: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86325.075227: binder_transaction: transaction=3913089 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
  binder:31215_3-31225   [006] ..... 86325.075245: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
 UnityGfxDeviceW-31394   [007] ..... 86325.075299: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
  surfaceflinger-600     [006] ..... 86325.085042: binder_transaction: transaction=3913093 dest_node=444 dest_proc=602 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [006] ..... 86325.085126: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [006] ..... 86325.085141: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
    binder:602_2-602     [006] ..... 86325.085178: binder_transaction_received: transaction=3913093
    binder:602_2-602     [006] ..... 86325.086140: binder_transaction: transaction=3913094 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [006] ..... 86325.086202: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [006] ..... 86325.086245: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [006] ..... 86325.086254: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [006] ..... 86325.086290: binder_transaction_received: transaction=3913094
  surfaceflinger-600     [006] ..... 86325.118083: binder_transaction: transaction=3913105 dest_node=444 dest_proc=602 dest_thread=0 reply=0 flags=0x10 code=0x23
  surfaceflinger-600     [006] ..... 86325.118122: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  surfaceflinger-600     [006] ..... 86325.118137: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=0
    binder:602_2-602     [006] ..... 86325.118162: binder_transaction_received: transaction=3913105
    binder:602_2-602     [006] ..... 86325.118712: binder_transaction: transaction=3913106 dest_node=0 dest_proc=600 dest_thread=600 reply=1 flags=0x0 code=0x0
    binder:602_2-602     [006] ..... 86325.118751: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:602_2-602     [006] ..... 86325.118775: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
    binder:602_2-602     [006] ..... 86325.118780: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  surfaceflinger-600     [006] ..... 86325.118802: binder_transaction_received: transaction=3913106
    kworker/6:5H-32464   [006] ..... 86325.131122: block_rq_issue: 8,0 R 8192 () 13021640 + 16 [kworker/6:5H]
    TracingMuxer-1864    [006] ..... 86325.131171: block_rq_issue: 8,0 RA 131072 () 12501560 + 256 [TracingMuxer]
          <idle>-0       [006] ..s1. 86325.131247: block_rq_complete: 8,0 R () 13021640 + 16 [0]
          <idle>-0       [006] ..s1. 86325.131491: block_rq_complete: 8,0 RA () 12501560 + 256 [0]
    TracingMuxer-1864    [007] ..... 86325.132631: block_rq_issue: 8,0 RA 122880 () 12501848 + 240 [TracingMuxer]
          <idle>-0       [007] ..s1. 86325.132871: block_rq_complete: 8,0 RA () 12501848 + 240 [0]
    TracingMuxer-1864    [006] ..... 86325.133730: block_rq_issue: 8,0 RA 131072 () 12498928 + 256 [TracingMuxer]
          <idle>-0       [006] ..s1. 86325.134028: block_rq_complete: 8,0 RA () 12498928 + 256 [0]
    kworker/7:2H-32560   [007] ..... 86325.134579: block_rq_issue: 8,0 R 8192 () 13021608 + 16 [kworker/7:2H]
    TracingMuxer-1864    [007] ..... 86325.134604: block_rq_issue: 8,0 RA 131072 () 12497584 + 256 [TracingMuxer]
          <idle>-0       [007] ..s1. 86325.134704: block_rq_complete: 8,0 R () 13021608 + 16 [0]
          <idle>-0       [007] ..s1. 86325.134847: block_rq_complete: 8,0 RA () 12497584 + 256 [0]
 UnityGfxDeviceW-31394   [006] ..... 86325.140606: binder_transaction: transaction=3913109 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [006] ..... 86325.140665: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
    binder:600_3-1965    [007] ..... 86325.140708: binder_transaction_received: transaction=3913109
    binder:600_3-1965    [007] ..... 86325.140942: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  binder:31215_3-31225   [007] ..... 86325.156695: binder_transaction_received: transaction=3913114
  binder:31215_3-31225   [007] ..... 86325.156978: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
       Thread-76-31418   [006] ..... 86325.167973: binder_transaction: transaction=3913119 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [006] ..... 86325.168022: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 UnityGfxDeviceW-31394   [006] ..... 86325.174550: binder_transaction: transaction=3913120 dest_node=535 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x8
 UnityGfxDeviceW-31394   [006] ..... 86325.174703: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
       Thread-76-31418   [006] ..... 86325.184680: binder_transaction: transaction=3913123 dest_node=3492248 dest_proc=600 dest_thread=0 reply=0 flags=0x11 code=0x3
       Thread-76-31418   [006] ..... 86325.184751: binder_wait_for_work: proc_work=0 transaction_stack=0 thread_todo=1
 cent.tmgp.sgame-31215   [007] ..... 86325.193085: binder_transaction: transaction=3913127 dest_node=30429 dest_proc=2214 dest_thread=0 reply=0 flags=0x12 code=0x15f
 cent.tmgp.sgame-31215   [007] ..... 86325.193179: binder_wait_for_work: proc_work=0 transaction_stack=1 thread_todo=1
  binder:31215_3-31225   [006] ..... 86325.207293: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
  binder:31215_3-31225   [006] ..... 86325.218775: binder_wait_for_work: proc_work=1 transaction_stack=0 thread_todo=0
