rank,event,tid,comm,count,relevant_to_game_pipeline,first_ts_ns,last_ts_ns,duration_ms
435,FUTEX_WAIT,18050,binder:18042_1,2,False,273110522282565,273110522294365,0.012
436,FUTEX_WAIT,17508,APM6-CPU,2,False,273110684073865,273140684284085,30000.21
437,FUTEX_WAIT,1775,NativeTombstone,2,False,273110684164319,273117649249284,6965.085
438,FUTEX_WAIT,928,netd,2,False,273110889133842,273145723767933,34834.634
439,BINDER_CALL,18061,Dns_120_10170,2,False,273110907077405,273110907140353,0.063
440,FUTEX_WAIT,22387,[GT]ColdPool#2,2,False,273111209773125,273137345282456,26135.509
441,BINDER_CALL,18166,APM6-IO,2,False,273111354445041,273141355024808,30000.58
442,FUTEX_WAIT,2600,SatelliteContro,2,False,273112061221530,273112061242974,0.021
443,FUTEX_WAIT,22419,wc_srvinit_4,2,False,273112382004774,273112382117242,0.112
444,FUTEX_WAIT,22438,[GT]ColdPool#5,2,False,273113209123508,273138461423732,25252.3
445,BINDER_CALL,17500,APM6-LIGHT_WEIG,2,False,273113726606907,273143731493681,30004.887
446,FUTEX_WAIT,17500,APM6-LIGHT_WEIG,2,False,273113729848159,273143812305083,30082.457
447,FUTEX_WAIT,17443,APM_light-weigh,2,False,273114009846328,273144016890735,30007.044
448,BINDER_CALL,2120,elsystemservice,2,False,273114842951471,273114845513564,2.562
449,BINDER_CALL,18071,BG Thread #3,2,False,273114888799453,273114899110488,10.311
450,FUTEX_WAIT,22456,[GT]ColdPool#11,2,False,273115208590876,273139208184109,23999.593
451,FUTEX_WAIT,22464,[GT]ColdPool#14,2,False,273115238449478,273141208454129,25970.005
452,BINDER_CALL,1499,batterystats-ha,2,False,273116491480159,273116503884456,12.404
453,BINDER_CALL,1483,PowerStatsServi,2,False,273116494680598,273116502105932,7.425
454,FUTEX_WAIT,1483,PowerStatsServi,2,False,273116501431900,273116502960709,1.529
455,FUTEX_WAIT,22374,[GT]ColdPool#1,2,False,273117209000870,273143208490792,25999.49
456,FUTEX_WAIT,18074,POSIX timer 3,2,False,273117551748348,273117551786230,0.038
457,FUTEX_WAIT,22444,[GT]ColdPool#9,2,False,273119207438127,273145208516590,26001.078
458,BINDER_CALL,1800,AlarmManager,2,False,273119287810157,273119469021868,181.212
459,FUTEX_WAIT,955,binder:955_3,2,False,273119495822689,273119496116920,0.294
460,FUTEX_WAIT,2214,m.android.phone,2,False,273119601542091,273119601765194,0.223
461,FUTEX_WAIT,22158,[GT]ColdPool#12,2,False,273120052381243,273140052562649,20000.181
462,FUTEX_WAIT,12604,binder:11388_A,2,False,273120504159563,273141156066719,20651.907
463,BINDER_CALL,20438,DG,2,False,273120580914039,273120587912371,6.998
464,FUTEX_WAIT,18077,Dns_120_10170,2,False,273120620810035,273120620833310,0.023
465,FUTEX_WAIT,22465,[GT]ColdPool#15,2,False,273121208623716,273147211986888,26003.363
466,FUTEX_WAIT,18078,Blocking Thread,2,False,273121529076149,273121529167254,0.091
467,FUTEX_WAIT,20532,Lite Thread #0,2,False,273121533479754,273121533528379,0.049
468,FUTEX_WAIT,22153,[GT]ColdPool#9,2,False,273122052548033,273140333552761,18281.005
469,BINDER_CALL,22441,[GT]ColdPool#7,2,False,273122388863951,273122390105568,1.242
470,FUTEX_WAIT,22441,[GT]ColdPool#7,2,False,273122391677712,273149208430329,26816.753
471,BINDER_CALL,21592,binder:981_9,2,False,273122395076190,273139489751410,17094.675
472,BINDER_CALL,981,audioserver,2,False,273122395460346,273139489707506,17094.247
473,FUTEX_WAIT,22065,com.tencent.mm,2,False,273122400571877,273138482056056,16081.484
474,FUTEX_WAIT,22458,[GT]ColdPool#12,2,False,273123208662738,273151209197095,28000.534
475,BINDER_CALL,903,netd,2,False,273124548392475,273154551760654,30003.368
476,FUTEX_WAIT,903,netd,2,False,273124548959004,273154551797316,30002.838
477,FUTEX_WAIT,22462,[GT]ColdPool#13,2,False,273125210042704,273153208549146,27998.506
478,BINDER_CALL,22405,mars::22405,2,False,273128416098166,273128417969951,1.872
479,FUTEX_WAIT,15618,tgpa_MainHandle,2,False,273131988269921,273131988281924,0.012
