frame_index,frame_token,deadline_missed,frame_time_ms,cluster,sampled_time_ns,avg_freq_khz,min_freq_khz,max_freq_khz,sample_count
25,9421278,0,16.22,big,41232848,2486960.684986,2048000.000000,2507000.000000,10
25,9421278,0,16.22,little,82465696,1409036.446621,1328000.000000,1803000.000000,20
25,9421278,0,16.22,middle,41232848,1768412.945378,1197000.000000,2253000.000000,12
26,9421297,0,16.348,big,41200000,2486944.708010,2048000.000000,2507000.000000,10
26,9421297,0,16.348,little,82400000,1431879.382803,1328000.000000,1803000.000000,24
26,9421297,0,16.348,middle,41200000,1311111.281602,799000.000000,2253000.000000,10
27,9421353,0,16.311,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
27,9421353,0,16.311,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
27,9421353,0,16.311,middle,41200000,1234880.029951,1197000.000000,1328000.000000,8
28,9421372,0,16.222,big,41200000,2401000.000000,2401000.000000,2401000.000000,4
28,9421372,0,16.222,little,82400000,1328000.000000,1328000.000000,1328000.000000,8
28,9421372,0,16.222,middle,41200000,1306935.813665,1197000.000000,1328000.000000,6
29,9421409,0,16.127,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
29,9421409,0,16.127,little,82400000,1377385.561153,1328000.000000,1803000.000000,24
29,9421409,0,16.127,middle,41200000,2087383.624223,1663000.000000,2253000.000000,12
30,9421446,0,16.174,big,41200000,2439423.388544,2048000.000000,2507000.000000,12
30,9421446,0,16.174,little,82400000,1371390.679308,1328000.000000,1803000.000000,20
30,9421446,0,16.174,middle,41200000,2215038.890291,1663000.000000,2253000.000000,10
31,9421483,0,16.092,big,41200000,2507000.000000,2507000.000000,2507000.000000,2
31,9421483,0,16.092,little,82400000,1328000.000000,1328000.000000,1328000.000000,4
31,9421483,0,16.092,middle,41200000,1767206.194782,1328000.000000,1836000.000000,8
32,9421520,0,16.14,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
32,9421520,0,16.14,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
32,9421520,0,16.14,middle,41200000,1204675.238350,799000.000000,1328000.000000,10
33,9421545,0,16.148,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
33,9421545,0,16.148,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
33,9421545,0,16.148,middle,41200000,2253000.000000,2253000.000000,2253000.000000,6
34,9421582,0,16.168,big,41200000,2391841.817694,2048000.000000,2401000.000000,6
34,9421582,0,16.168,little,82400000,1402158.008799,1328000.000000,1803000.000000,20
34,9421582,0,16.168,middle,41200000,1959225.155485,400000.000000,2253000.000000,8
35,9421619,0,16.144,big,41200000,2446076.209272,2401000.000000,2507000.000000,8
35,9421619,0,16.144,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
35,9421619,0,16.144,middle,41200000,1073943.653252,696000.000000,2253000.000000,12
36,9421656,0,16.19,big,41200000,2456365.646845,1277000.000000,2507000.000000,10
36,9421656,0,16.19,little,82400000,1367981.337985,1328000.000000,1803000.000000,20
36,9421656,0,16.19,middle,41200000,1823581.482427,1197000.000000,2253000.000000,10
37,9421693,0,16.139,big,41200000,2404784.459854,2401000.000000,2507000.000000,4
37,9421693,0,16.139,little,82400000,1328000.000000,1328000.000000,1328000.000000,4
37,9421693,0,16.139,middle,41200000,1060021.357500,910000.000000,1197000.000000,4
38,9421730,0,16.295,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
38,9421730,0,16.295,little,82400000,1343844.800607,1328000.000000,1401000.000000,20
38,9421730,0,16.295,middle,41200000,1334940.882039,910000.000000,2253000.000000,12
39,9421767,0,16.167,big,41200000,2500008.196262,2401000.000000,2507000.000000,10
39,9421767,0,16.167,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
39,9421767,0,16.167,middle,41200000,2193851.252403,1836000.000000,2253000.000000,10
40,9421804,0,16.052,big,41200000,2422873.673738,2401000.000000,2507000.000000,4
40,9421804,0,16.052,little,82400000,1328000.000000,1328000.000000,1328000.000000,4
40,9421804,0,16.052,middle,41200000,1638332.958204,1491000.000000,2130000.000000,4
41,9421841,0,16.207,big,41238380,2401000.000000,2401000.000000,2401000.000000,6
41,9421841,0,16.207,little,82476760,1328000.000000,1328000.000000,1328000.000000,12
41,9421841,0,16.207,middle,41238380,1072919.764962,1024000.000000,1197000.000000,8
42,9421854,0,16.288,big,41430370,2604076.092755,2401000.000000,2630000.000000,10
42,9421854,0,16.288,little,82860740,1391833.581283,1328000.000000,1401000.000000,16
42,9421854,0,16.288,middle,41430370,793400.070528,696000.000000,910000.000000,8
43,9421867,0,16.243,big,41208848,2464768.257948,2401000.000000,2630000.000000,4
43,9421867,0,16.243,little,82417696,1490964.313198,1328000.000000,1704000.000000,20
43,9421867,0,16.243,middle,41208848,1308737.350168,910000.000000,1491000.000000,6
44,9421904,0,16.085,big,41200000,2507000.000000,2507000.000000,2507000.000000,6
44,9421904,0,16.085,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
44,9421904,0,16.085,middle,41200000,1286420.351990,1197000.000000,1328000.000000,8
45,9421941,0,16.193,big,41214472,2328872.266567,2252000.000000,2401000.000000,8
45,9421941,0,16.193,little,82428944,1264800.639300,1197000.000000,1328000.000000,16
45,9421941,0,16.193,middle,41214472,1476496.279050,1328000.000000,1663000.000000,8
46,9421978,0,16.143,big,41217302,2249176.232059,2188000.000000,2252000.000000,6
46,9421978,0,16.143,little,82434604,1352530.460315,1197000.000000,1704000.000000,20
46,9421978,0,16.143,middle,41217302,1612850.175929,1491000.000000,1663000.000000,4
47,9422015,0,16.244,big,41226688,2401000.000000,2401000.000000,2401000.000000,6
47,9422015,0,16.244,little,82453376,1666712.747565,1328000.000000,1803000.000000,40
47,9422015,0,16.244,middle,41226688,1778784.361455,1491000.000000,1836000.000000,10
48,9422052,0,16.244,big,41244574,2479681.768952,2401000.000000,2507000.000000,8
48,9422052,0,16.244,little,82489148,1432949.242984,1328000.000000,1704000.000000,32
48,9422052,0,16.244,middle,41244574,1475817.407861,1328000.000000,1491000.000000,10
49,9422089,0,16.246,big,41260292,2430637.899678,851000.000000,2630000.000000,10
49,9422089,0,16.246,little,82520584,1396632.984481,1328000.000000,1598000.000000,24
49,9422089,0,16.246,middle,41260292,2034584.622765,1328000.000000,2130000.000000,12
50,9422126,0,16.22,big,41258644,2401000.000000,2401000.000000,2401000.000000,6
50,9422126,0,16.22,little,82517288,1339307.567379,1328000.000000,1401000.000000,20
50,9422126,0,16.22,middle,41258644,1766781.397905,1663000.000000,1836000.000000,8
51,9422163,0,16.163,big,41284194,2401000.000000,2401000.000000,2401000.000000,6
51,9422163,0,16.163,little,82568388,1329764.667793,1328000.000000,1803000.000000,16
51,9422163,0,16.163,middle,41284194,1367048.565996,910000.000000,1663000.000000,10
52,9422200,0,16.11,big,41290958,2401000.000000,2401000.000000,2401000.000000,6
52,9422200,0,16.11,little,82581916,1328000.000000,1328000.000000,1328000.000000,12
52,9422200,0,16.11,middle,41290958,1200630.956468,910000.000000,1328000.000000,10
53,9422237,0,16.229,big,41295910,2437447.677361,2401000.000000,2507000.000000,10
53,9422237,0,16.229,little,82591820,1328000.000000,1328000.000000,1328000.000000,12
53,9422237,0,16.229,middle,41295910,936756.524508,553000.000000,1024000.000000,10
54,9422274,0,16.241,big,41288812,2471878.721141,1277000.000000,2507000.000000,8
54,9422274,0,16.241,little,82577624,1340228.321864,1098000.000000,1803000.000000,20
54,9422274,0,16.241,middle,41288812,1984702.559957,1836000.000000,2253000.000000,10
55,9422311,0,16.244,big,41312232,2507000.000000,2507000.000000,2507000.000000,6
55,9422311,0,16.244,little,82624464,1328000.000000,1328000.000000,1328000.000000,12
55,9422311,0,16.244,middle,41312232,2194244.806163,2130000.000000,2253000.000000,8
56,9422348,0,16.176,big,41273844,2507000.000000,2507000.000000,2507000.000000,6
56,9422348,0,16.176,little,82547688,1328000.000000,1328000.000000,1328000.000000,12
56,9422348,0,16.176,middle,41273844,1816344.203632,1197000.000000,2253000.000000,16
57,9422385,0,16.161,big,41239772,2507000.000000,2507000.000000,2507000.000000,8
57,9422385,0,16.161,little,82479544,1328000.000000,1328000.000000,1328000.000000,16
57,9422385,0,16.161,middle,41239772,1201255.579759,799000.000000,1491000.000000,16
58,9422422,0,16.17,big,41220340,2507000.000000,2507000.000000,2507000.000000,4
58,9422422,0,16.17,little,82440680,1328000.000000,1328000.000000,1328000.000000,8
58,9422422,0,16.17,middle,41220340,1063690.055613,799000.000000,2253000.000000,10
59,9422459,0,16.268,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
59,9422459,0,16.268,little,82400000,1328000.000000,1328000.000000,1328000.000000,12
59,9422459,0,16.268,middle,41200000,931570.804539,696000.000000,1197000.000000,12
60,9422496,0,16.335,big,41293878,2405789.250939,2401000.000000,2507000.000000,10
60,9422496,0,16.335,little,82587756,1328000.000000,1328000.000000,1328000.000000,16
60,9422496,0,16.335,middle,41293878,2228294.773186,1999000.000000,2253000.000000,12
61,9422534,0,16.211,big,41200000,2586709.221529,2507000.000000,2630000.000000,10
61,9422534,0,16.211,little,82400000,1479730.724466,1328000.000000,1598000.000000,24
61,9422534,0,16.211,middle,41200000,1300933.394684,553000.000000,2130000.000000,14
62,9422553,0,16.262,big,41200000,2282944.155922,984000.000000,2630000.000000,12
62,9422553,0,16.262,little,82400000,1381780.600170,1197000.000000,1803000.000000,32
62,9422553,0,16.262,middle,41200000,1666015.943544,910000.000000,2253000.000000,16
63,9422590,0,16.32,big,41200000,2321008.294612,2188000.000000,2401000.000000,8
63,9422590,0,16.32,little,82400000,1278950.647731,1197000.000000,1328000.000000,16
63,9422590,0,16.32,middle,41200000,1132349.690364,910000.000000,1197000.000000,8
64,9422627,0,16.194,big,41200000,2449529.339248,2252000.000000,2630000.000000,10
64,9422627,0,16.194,little,82400000,1395888.644405,1328000.000000,1803000.000000,28
64,9422627,0,16.194,middle,41200000,2253000.000000,2253000.000000,2253000.000000,6
65,9422664,0,16.136,big,41200000,2218927.602330,2188000.000000,2252000.000000,10
65,9422664,0,16.136,little,82400000,1457744.385667,1197000.000000,1598000.000000,28
65,9422664,0,16.136,middle,41200000,2053948.415388,1836000.000000,2130000.000000,10
66,9422701,0,16.147,big,41200000,2476123.672379,2401000.000000,2630000.000000,10
66,9422701,0,16.147,little,82400000,1383085.412549,1328000.000000,1803000.000000,24
66,9422701,0,16.147,middle,41200000,1465239.269029,910000.000000,2253000.000000,10
67,9422738,0,16.15,big,41200000,2630000.000000,2630000.000000,2630000.000000,6
67,9422738,0,16.15,little,82400000,1401000.000000,1401000.000000,1401000.000000,12
67,9422738,0,16.15,middle,41200000,2103367.170243,1197000.000000,2253000.000000,12
68,9422793,0,16.209,big,41247692,2507000.000000,2507000.000000,2507000.000000,6
68,9422793,0,16.209,little,82495384,1365219.651587,1328000.000000,1598000.000000,16
68,9422793,0,16.209,middle,41247692,2043487.259336,1836000.000000,2253000.000000,14
69,9422830,0,16.182,big,41228904,2507000.000000,2507000.000000,2507000.000000,6
69,9422830,0,16.182,little,82457808,1373546.235161,1328000.000000,1803000.000000,32
69,9422830,0,16.182,middle,41228904,2035172.594256,1836000.000000,2253000.000000,10
70,9422849,0,16.2,big,41243924,2507000.000000,2507000.000000,2507000.000000,6
70,9422849,0,16.2,little,82487848,1382969.805674,1328000.000000,1803000.000000,20
70,9422849,0,16.2,middle,41243924,2092042.232209,1999000.000000,2130000.000000,8
71,9422886,0,16.238,big,41228234,2507000.000000,2507000.000000,2507000.000000,6
71,9422886,0,16.238,little,82456468,1521617.231568,1328000.000000,1803000.000000,28
71,9422886,0,16.238,middle,41228234,1912734.682354,1663000.000000,2130000.000000,8
72,9422941,0,16.183,big,41200000,2456276.638155,2401000.000000,2507000.000000,8
72,9422941,0,16.183,little,82400000,1764273.731456,1328000.000000,1803000.000000,24
72,9422941,0,16.183,middle,41200000,1627996.305340,1328000.000000,1663000.000000,10
73,9422978,0,16.245,big,41238462,2401000.000000,2401000.000000,2401000.000000,6
73,9422978,0,16.245,little,82476924,1565700.307155,1328000.000000,1803000.000000,32
73,9422978,0,16.245,middle,41238462,1694100.033362,1491000.000000,1836000.000000,10
74,9422997,0,16.145,big,41210840,2401000.000000,2401000.000000,2401000.000000,6
74,9422997,0,16.145,little,82421680,1328000.000000,1328000.000000,1328000.000000,12
74,9422997,0,16.145,middle,41210840,1880234.163439,1663000.000000,1999000.000000,10
75,9423034,0,16.161,big,41252762,2401000.000000,2401000.000000,2401000.000000,6
75,9423034,0,16.161,little,82505524,1328000.000000,1328000.000000,1328000.000000,12
75,9423034,0,16.161,middle,41252762,1701442.289804,1328000.000000,1836000.000000,10
76,9423071,0,16.337,big,41230362,2246803.111285,2188000.000000,2401000.000000,8
76,9423071,0,16.337,little,82460724,1440686.837542,1197000.000000,1803000.000000,32
76,9423071,0,16.337,middle,41230362,2198597.271981,1663000.000000,2253000.000000,10
77,9423108,0,16.262,big,41201270,2188000.000000,2188000.000000,2188000.000000,6
77,9423108,0,16.262,little,82402540,1635112.973738,1197000.000000,1803000.000000,32
77,9423108,0,16.262,middle,41201270,1649683.623684,1328000.000000,1999000.000000,12
78,9423121,0,16.136,big,41200000,2188000.000000,2188000.000000,2188000.000000,6
78,9423121,0,16.136,little,82400000,1248778.764757,1197000.000000,1401000.000000,24
78,9423121,0,16.136,middle,41200000,1440616.893204,1197000.000000,2253000.000000,8
79,9423134,0,16.147,big,41200000,2197565.770874,2188000.000000,2252000.000000,8
79,9423134,0,16.147,little,82400000,1211381.939927,1197000.000000,1328000.000000,16
79,9423134,0,16.147,middle,41200000,1574570.575146,1491000.000000,1663000.000000,8
80,9423147,0,16.133,big,41200000,2252000.000000,2252000.000000,2252000.000000,8
80,9423147,0,16.133,little,82400000,1263788.034066,1197000.000000,1803000.000000,28
80,9423147,0,16.133,middle,41200000,1120281.745947,400000.000000,2253000.000000,12
81,9423160,0,16.065,big,41200000,2186728.685534,1426000.000000,2401000.000000,14
81,9423160,0,16.065,little,82400000,1361493.386917,1328000.000000,1401000.000000,28
81,9423160,0,16.065,middle,41200000,2167291.896578,1024000.000000,2253000.000000,10
82,9423185,0,16.159,big,41200000,2048000.000000,2048000.000000,2048000.000000,6
82,9423185,0,16.159,little,82400000,1533865.200607,1328000.000000,1598000.000000,20
82,9423185,0,16.159,middle,41200000,1117327.684660,799000.000000,1491000.000000,10
83,9423222,0,16.31,big,41208186,2239140.906469,2188000.000000,2401000.000000,10
83,9423222,0,16.31,little,82416372,1377653.389875,1197000.000000,1704000.000000,28
83,9423222,0,16.31,middle,41208186,1434092.096143,1197000.000000,1663000.000000,10
84,9423259,0,16.167,big,41200000,2272005.504369,2188000.000000,2401000.000000,10
84,9423259,0,16.167,little,82400000,1356670.808204,1197000.000000,1598000.000000,28
84,9423259,0,16.167,middle,41200000,1418440.534175,1328000.000000,1491000.000000,8
85,9423296,0,16.173,big,41215268,2248520.236336,2188000.000000,2252000.000000,8
85,9423296,0,16.173,little,82430536,1197000.000000,1197000.000000,1197000.000000,12
85,9423296,0,16.173,middle,41215268,1458169.276711,1328000.000000,1491000.000000,8
86,9423333,0,16.182,big,41202414,2401000.000000,2401000.000000,2401000.000000,6
86,9423333,0,16.182,little,82404828,1408830.769709,1328000.000000,1803000.000000,16
86,9423333,0,16.182,middle,41202414,1794495.786485,1197000.000000,2253000.000000,10
87,9423370,0,16.137,big,41231322,2343825.705104,2252000.000000,2401000.000000,8
87,9423370,0,16.137,little,82462644,1277947.594695,1197000.000000,1328000.000000,16
87,9423370,0,16.137,middle,41231322,1325647.039525,1024000.000000,1663000.000000,8
88,9423407,0,16.386,big,41280106,2396951.076167,2252000.000000,2401000.000000,10
88,9423407,0,16.386,little,82560212,1328000.000000,1328000.000000,1328000.000000,12
88,9423407,0,16.386,middle,41280106,1863037.920688,1491000.000000,2253000.000000,12
89,9423444,0,16.188,big,41227570,2390516.120839,2252000.000000,2401000.000000,10
89,9423444,0,16.188,little,82455140,1396124.204883,1197000.000000,1598000.000000,32
89,9423444,0,16.188,middle,41227570,1864685.179214,910000.000000,1999000.000000,10
90,9423481,0,16.17,big,41200960,2401000.000000,2401000.000000,2401000.000000,6
90,9423481,0,16.17,little,82401920,1328000.000000,1328000.000000,1328000.000000,12
90,9423481,0,16.17,middle,41200960,2208629.167379,1663000.000000,2253000.000000,10
91,9423518,0,16.194,big,41217920,2401000.000000,2401000.000000,2401000.000000,6
91,9423518,0,16.194,little,82435840,1328000.000000,1328000.000000,1328000.000000,12
91,9423518,0,16.194,middle,41217920,2098556.257084,1663000.000000,2253000.000000,8
92,9423555,0,16.166,big,41200000,2401000.000000,2401000.000000,2401000.000000,8
92,9423555,0,16.166,little,82400000,1432156.305340,1328000.000000,1704000.000000,28
92,9423555,0,16.166,middle,41200000,2132476.260194,1999000.000000,2253000.000000,12
93,9423592,0,16.152,big,41200000,2401000.000000,2401000.000000,2401000.000000,6
93,9423592,0,16.152,little,82400000,1442562.124612,1328000.000000,1803000.000000,32
93,9423592,0,16.152,middle,41200000,2221283.378228,2130000.000000,2253000.000000,10
94,9423629,0,16.209,big,41216240,2401000.000000,2401000.000000,2401000.000000,4
94,9423629,0,16.209,little,82432480,1337096.069207,1328000.000000,1401000.000000,12
94,9423629,0,16.209,middle,41216240,1502940.272960,1197000.000000,1663000.000000,8
95,9423666,0,16.358,big,41212694,2401000.000000,2401000.000000,2401000.000000,6
95,9423666,0,16.358,little,82425388,1328000.000000,1328000.000000,1328000.000000,12
95,9423666,0,16.358,middle,41212694,2128290.632032,1836000.000000,2253000.000000,10
96,9423704,0,16.205,big,41231214,2315891.057028,2252000.000000,2401000.000000,8
96,9423704,0,16.205,little,82462428,1277563.558788,1197000.000000,1328000.000000,28
96,9423704,0,16.205,middle,41231214,1645646.456638,1328000.000000,2253000.000000,10
97,9423741,0,16.236,big,41218858,2239317.922151,1826000.000000,2252000.000000,8
97,9423741,0,16.236,little,82437716,1399825.499957,1197000.000000,1803000.000000,28
97,9423741,0,16.236,middle,41218858,2076834.904402,1999000.000000,2253000.000000,8
98,9423778,0,16.257,big,41261450,2401000.000000,2401000.000000,2401000.000000,8
98,9423778,0,16.257,little,82522900,1328000.000000,1328000.000000,1328000.000000,16
98,9423778,0,16.257,middle,41261450,1210813.066361,696000.000000,1663000.000000,14
99,9423815,0,16.153,big,41275812,2401000.000000,2401000.000000,2401000.000000,6
99,9423815,0,16.153,little,82551624,1353637.475345,1328000.000000,1803000.000000,24
99,9423815,0,16.153,middle,41275812,1630704.244801,1328000.000000,2253000.000000,10
100,9423853,0,16.185,big,41270688,2401000.000000,2401000.000000,2401000.000000,4
100,9423853,0,16.185,little,82541376,1328000.000000,1328000.000000,1328000.000000,8
100,9423853,0,16.185,middle,41270688,2176651.766212,2130000.000000,2253000.000000,6
101,9423891,0,16.165,big,41248088,2358359.049467,1277000.000000,2401000.000000,8
101,9423891,0,16.165,little,82496176,1354060.781399,1328000.000000,1803000.000000,20
101,9423891,0,16.165,middle,41248088,1732480.738186,1491000.000000,2253000.000000,12
102,9423910,0,16.277,big,41240064,2316388.005993,1277000.000000,2401000.000000,10
102,9423910,0,16.277,little,82480128,1389322.082332,1328000.000000,1803000.000000,20
102,9423910,0,16.277,middle,41240064,1693895.327830,1197000.000000,1836000.000000,10
103,9423966,0,16.193,big,41230894,2396146.019172,2252000.000000,2401000.000000,8
103,9423966,0,16.193,little,82461788,1328000.000000,1328000.000000,1328000.000000,8
103,9423966,0,16.193,middle,41230894,2151947.829121,1836000.000000,2253000.000000,6
104,9423985,0,16.248,big,41239162,2401000.000000,2401000.000000,2401000.000000,4
104,9423985,0,16.248,little,82478324,1328000.000000,1328000.000000,1328000.000000,8
104,9423985,0,16.248,middle,41239162,1789141.991101,1491000.000000,1836000.000000,6
105,9424010,0,16.168,big,41236076,2470117.911656,2252000.000000,2507000.000000,12
105,9424010,0,16.168,little,82472152,1354779.634015,1197000.000000,1803000.000000,28
105,9424010,0,16.168,middle,41236076,2161102.986618,1999000.000000,2253000.000000,8
106,9424023,0,16.23,big,41232516,2507000.000000,2507000.000000,2507000.000000,6
106,9424023,0,16.23,little,82465032,1328000.000000,1328000.000000,1328000.000000,12
106,9424023,0,16.23,middle,41232516,1963685.103718,1663000.000000,2253000.000000,8
107,9424048,0,16.377,big,41293628,2252000.000000,2252000.000000,2252000.000000,4
107,9424048,0,16.377,little,82587256,1323059.948850,1197000.000000,1803000.000000,20
107,9424048,0,16.377,middle,41293628,2206165.971321,2130000.000000,2253000.000000,6
108,9424085,0,16.194,big,41255438,2277840.251557,2252000.000000,2401000.000000,8
108,9424085,0,16.194,little,82510876,1219812.929110,1197000.000000,1328000.000000,16
108,9424085,0,16.194,middle,41255438,1735382.504774,1328000.000000,1999000.000000,8
109,9424122,0,16.271,big,41215580,2401000.000000,2401000.000000,2401000.000000,6
109,9424122,0,16.271,little,82431160,1328000.000000,1328000.000000,1328000.000000,12
109,9424122,0,16.271,middle,41215580,1217887.446252,1024000.000000,1328000.000000,8
110,9424159,0,16.227,big,41200000,2284425.865146,2188000.000000,2401000.000000,6
110,9424159,0,16.227,little,82400000,1357981.786711,1328000.000000,1803000.000000,16
110,9424159,0,16.227,middle,41200000,2123615.520728,1328000.000000,2253000.000000,8
111,9424196,0,16.304,big,41200000,2181243.290777,2048000.000000,2188000.000000,10
