frame_index,frame_token,deadline_missed,frame_time_ms,thread_count,on_cpu_ms,runnable_wait_ms,top_thread,top_thread_score_ns
104,9423985,0,16.248,77,72.5,15.736,tracepilot:18002,18448911
105,9424010,0,16.168,100,62.216,23.964,tracepilot:18002,18333199
106,9424023,0,16.23,87,66.114,25.911,tracepilot:18002,18647785
107,9424048,0,16.377,92,95.262,34.456,tracepilot:18002,18447628
108,9424085,0,16.194,102,75.332,33.424,tracepilot:18002,18326031
109,9424122,0,16.271,91,92.161,36.273,tracepilot:18002,18362051
110,9424159,0,16.227,92,99.622,36.195,traced_probes:1222,18525507
111,9424196,0,16.304,97,67.197,35.34,tracepilot:18002,19142293
112,9424233,0,16.131,101,67.309,30.231,tracepilot:18002,18314859
113,9424270,0,16.226,79,67.353,14.561,tracepilot:18002,18359640
114,9424283,0,16.176,96,60.184,22.524,tracepilot:18002,18797465
115,9424308,0,16.203,78,51.774,13.479,tracepilot:18002,18420925
116,9424333,0,16.271,75,70.992,17.173,tracepilot:18002,18387730
117,9424346,0,16.234,74,63.174,14.538,tracepilot:18002,18647644
118,9424359,0,16.126,94,64.349,24.609,tracepilot:18002,18246425
119,9424384,0,16.143,94,80.949,30.294,tracepilot:18002,18357400
120,9424421,0,16.123,84,59.406,27.801,tracepilot:18002,18420998
121,9424458,0,16.116,85,55.685,31.037,tracepilot:18002,18292041
122,9424495,0,16.099,89,72.007,26.385,tracepilot:18002,18277803
123,9424532,0,16.081,87,54.472,26.748,tracepilot:18002,18171737
124,9424569,0,16.25,87,78.65,32.908,tracepilot:18002,18354448
125,9424606,0,16.17,86,67.285,25.828,tracepilot:18002,18372661
126,9424643,0,16.079,81,54.057,22.755,tracepilot:18002,18236420
127,9424680,0,16.138,93,53.246,25.843,tracepilot:18002,18001706
128,9424717,0,16.23,92,74.544,22.714,tracepilot:18002,18397232
129,9424754,0,16.187,87,56.439,27.231,tracepilot:18002,17908329
130,9424791,0,16.223,105,57.65,32.723,tracepilot:18002,18427452
131,9424828,0,16.359,99,72.178,30.415,tracepilot:18002,18589584
132,9424865,0,16.2,89,58.562,24.206,tracepilot:18002,18252217
133,9424902,0,16.261,97,62.84,29.79,tracepilot:18002,18284819
134,9424939,0,16.359,93,66.201,24.264,tracepilot:18002,18840952
135,9424977,0,16.232,85,47.326,13.854,tracepilot:18002,18222614
136,9425015,0,16.3,79,47.803,13.886,tracepilot:18002,18253075
137,9425053,0,16.145,96,69.8,27.942,traced_probes:1222,19598454
138,9425060,0,16.203,91,79.074,31.504,tracepilot:18002,18281758
139,9425097,0,16.23,100,71.127,40.206,tracepilot:18002,19158046
140,9425134,0,16.352,91,76.099,32.363,tracepilot:18002,18609674
141,9425171,0,16.179,89,65.168,29.64,tracepilot:18002,18588937
142,9425208,0,16.167,79,55.466,21.554,tracepilot:18002,18435800
143,9425245,0,16.106,87,68.349,28.46,tracepilot:18002,17668474
144,9425282,0,16.205,92,74.491,31.756,tracepilot:18002,17850250
145,9425319,0,16.236,99,64.285,24.793,tracepilot:18002,18503482
146,9425356,0,16.176,94,67.306,31.102,tracepilot:18002,18559234
147,9425393,0,16.162,93,69.727,27.24,tracepilot:18002,18048908
148,9425430,0,16.2,86,61.023,25.788,tracepilot:18002,19014030
149,9425467,0,16.12,87,70.716,27.477,tracepilot:18002,18301114
