"frame_number","intended_vsync_ns","expected_start_ns","expected_end_ns","actual_present_ns","is_jank","delay_ms"
25780698,429375117226066,429375117226066,429375133892732,429375102725485,1,-14.500581
25780723,429375133970589,429375133970589,429375150637255,429375120682883,1,-13.287706
25780748,429375150695693,429375150695693,429375167362359,429375138440166,1,-12.255527
25780773,429375167408911,429375167408911,429375184075577,429375154722230,1,-12.686681
25780798,429375184114476,429375184114476,429375200781142,429375172300558,1,-11.813918
25780823,429375200831384,429375200831384,429375217498050,429375188232931,1,-12.598453
25780848,429375217538029,429375217538029,429375234204695,429375204807923,1,-12.730106
25780873,429375234255648,429375234255648,429375250922314,429375222841777,1,-11.413871
25780898,429375250964155,429375250964155,429375267630821,429375238584494,1,-12.379661
25780923,429375267685114,429375267685114,429375284351780,429375255914857,1,-11.770257
25780948,429375284387697,429375284387697,429375301054363,429375270827170,1,-13.560527
25780973,429375301105770,429375301105770,429375317772436,429375287331768,1,-13.774002
25780998,429375317815833,429375317815833,429375334482499,429375303872743,1,-13.943090
25781029,429375334528752,429375334528752,429375351195418,429375320527446,1,-14.001306
25781054,429375351237026,429375351237026,429375367903692,429375336603252,1,-14.633774
25781085,429375367947953,429375367947953,429375384614619,429375353140565,1,-14.807388
25781110,429375384663263,429375384663263,429375401329929,429375370022035,0,0.000000
25781129,429375401378960,429375401378960,429375418045626,429375387794902,1,-13.584058
25781172,429375451506079,429375451506079,429375468172745,429375437175111,1,-14.330968
25781185,429375468219919,429375468219919,429375484886585,429375453848451,1,-14.371468
25781210,429375501648701,429375501648701,429375518315367,429375487279400,0,0.000000
25781230,429375518391312,429375518391312,429375535057978,429375503715191,1,-14.676121
25781243,429375535102093,429375535102093,429375551768759,429375521408387,1,-13.693706
25781256,429375551810594,429375551810594,429375568477260,429375538385072,1,-13.425522
25781293,429375601948109,429375601948109,429375618614775,429375587142722,1,-14.805387
25781306,429375618659837,429375618659837,429375635326503,429375606072165,1,-12.587672
25781319,429375635380703,429375635380703,429375652047369,429375621252504,1,-14.128199
25781332,429375652089289,429375652089289,429375668755955,429375636742412,1,-15.346877
25781345,429375668799530,429375668799530,429375685466196,429375653680197,1,-15.119333
25781358,429375685521696,429375685521696,429375702188362,429375670539043,1,-14.982653
25781371,429375702241952,429375702241952,429375718908618,429375687228741,1,-15.013211
25781396,429375735668609,429375735668609,429375752335275,429375720615744,1,-15.052865
25781409,429375752390279,429375752390279,429375769056945,429375737191306,1,-15.198973
25781446,429375802541514,429375802541514,429375819208180,429375787558290,1,-14.983224
25781483,429375852682536,429375852682536,429375869349202,429375837714418,1,-14.968118
25781520,429375902843492,429375902843492,429375919510158,429375889019634,1,-13.823858
25781545,429375936274100,429375936274100,429375952940766,429375921281109,1,-14.992991
25781558,429375952993824,429375952993824,429375969660490,429375939683371,1,-13.310453
25781595,429376003147997,429376003147997,429376019814663,429375988458355,1,-14.689642
25781620,429376036583454,429376036583454,429376053250120,429376022298158,1,-14.285296
25781645,429376070015093,429376070015093,429376086681759,429376057081687,1,-12.933406
25781670,429376103454162,429376103454162,429376120120828,429376088607688,1,-14.846474
25781696,429376136890858,429376136890858,429376153557524,429376121879986,1,-15.010872
25781733,429376203748926,429376203748926,429376220415592,429376188780621,1,-14.968305
25781758,429376237179984,429376237179984,429376253846650,429376221949322,1,-15.230662
25781783,429376270619201,429376270619201,429376287285867,429376255378521,1,-15.240680
25781808,429376304053633,429376304053633,429376320720299,429376288990500,1,-15.063133
25781845,429376354202577,429376354202577,429376370869243,429376339168194,1,-15.034383
25781864,429376370921957,429376370921957,429376387588623,429376355694602,1,-15.227355
25781889,429376404348332,429376404348332,429376421014998,429376388892274,1,-15.456058
25781914,429376437778690,429376437778690,429376454445356,429376423914857,1,-13.863833
25781939,429376471209742,429376471209742,429376487876408,429376456016908,1,-15.192834
25781994,429376521351339,429376521351339,429376538018005,429376506379009,1,-14.972330
25782050,429376638366772,429376638366772,429376655033438,429376623214703,1,-15.152069
25782063,429376655085356,429376655085356,429376671752022,429376642528871,1,-12.556485
25782076,429376671868184,429376671868184,429376688534850,429376658340842,1,-13.527342
25782089,429376688521444,429376688521444,429376705188110,429376673234071,1,-15.287373
25782102,429376705249625,429376705249625,429376721916291,429376691725811,1,-13.523814
25782115,429376721968884,429376721968884,429376738635550,429376708712058,1,-13.256826
25782128,429376738680209,429376738680209,429376755346875,429376725133933,1,-13.546276
25782141,429376755405113,429376755405113,429376772071779,429376742102236,1,-13.302877
25782154,429376772115102,429376772115102,429376788781768,429376758642885,1,-13.472217
25782192,429376805546840,429376805546840,429376822213506,429376792001568,1,-13.545272
25782211,429376822262107,429376822262107,429376838928773,429376806982973,0,0.000000
25784225,429379664098023,429379664098023,429379680764689,429379649029239,1,-15.068784
25784322,429379747801876,429379747801876,429379764468542,429379733117374,1,-14.684502
25784341,429379763468598,429379763468598,429379780135264,429379748297794,1,-15.170804
25784360,429379780129273,429379780129273,429379796795939,429379765005598,1,-15.123675
25784379,429379797006868,429379797006868,429379813673534,429379783907657,1,-13.099211
25784398,429379813669377,429379813669377,429379830336043,429379798549910,1,-15.119467
25784417,429379830333858,429379830333858,429379847000524,429379815411360,1,-14.922498
25784436,429379847001031,429379847001031,429379863667697,429379832009870,1,-14.991161
25784455,429379864016381,429379864016381,429379880683047,429379848219587,1,-15.796794
25784474,429379880767398,429379880767398,429379897434064,429379865540144,1,-15.227254
25784493,429379897492048,429379897492048,429379914158714,429379882492048,1,-15.000000
25784512,429379914221422,429379914221422,429379930888088,429379899194034,1,-15.027388
25784531,429379930930071,429379930930071,429379947596737,429379915476586,1,-15.453485
25784550,429379947645733,429379947645733,429379964312399,429379932784285,1,-14.861448
25784569,429379964360149,429379964360149,429379981026815,429379949203230,1,-15.156919
25784588,429379981083293,429379981083293,429379997749959,429379965903385,1,-15.179908
25784613,429379997796772,429379997796772,429380014463438,429379982989566,1,-14.807206
25784638,429380014513738,429380014513738,429380031180404,429379999213687,1,-15.300051
25784663,429380031234788,429380031234788,429380047901454,429380015824934,1,-15.409854
25784682,429380047944978,429380047944978,429380064611644,429380033144148,1,-14.800830
25784719,429380081377763,429380081377763,429380098044429,429380066421899,1,-14.955864
25784738,429380098083704,429380098083704,429380114750370,429380082852359,1,-15.231345
25784751,429380114802415,429380114802415,429380131469081,429380099404727,1,-15.397688
25784776,429380148222900,429380148222900,429380164889566,429380133593936,1,-14.628964
25784789,429380164934695,429380164934695,429380181601361,429380149832055,1,-15.102640
25784802,429380181635595,429380181635595,429380198302261,429380166373274,1,-15.262321
25784827,429380215051142,429380215051142,429380231717808,429380199768171,1,-15.282971
25784852,429380248469566,429380248469566,429380265136232,429380233229923,1,-15.239643
25784877,429380281889371,429380281889371,429380298556037,429380266541121,1,-15.348250
25784902,429380315308398,429380315308398,429380331975064,429380300643782,1,-14.664616
25784939,429380365451104,429380365451104,429380382117770,429380350406030,1,-15.045074
25784952,429380382157874,429380382157874,429380398824540,429380366827131,1,-15.330743
25784989,429380415575242,429380415575242,429380432241908,429380400467350,1,-15.107892
25785014,429380448996334,429380448996334,429380465663000,429380433585310,1,-15.411024
25785039,429380482410579,429380482410579,429380499077245,429380467075016,1,-15.335563
25785064,429380515834931,429380515834931,429380532501597,429380500549096,1,-15.285835
25785089,429380549252162,429380549252162,429380565918828,429380533849470,1,-15.402692
25785114,429380582685673,429380582685673,429380599352339,429380569296044,1,-13.389629
25785145,429380616113255,429380616113255,429380632779921,429380602834822,1,-13.278433
25785158,429380632831559,429380632831559,429380649498225,429380619737084,1,-13.094475
25785171,429380649535961,429380649535961,429380666202627,429380635749007,1,-13.786954
25785196,429380682959306,429380682959306,429380699625972,429380669415958,1,-13.543348
25785221,429380716394202,429380716394202,429380733060868,429380701269677,1,-15.124525
25785246,429380749816048,429380749816048,429380766482714,429380736794742,1,-13.021306
25785271,429380783242765,429380783242765,429380799909431,429380767883284,1,-15.359481
25785302,429380816665372,429380816665372,429380833332038,429380801790307,1,-14.875065
25785321,429380833378193,429380833378193,429380850044859,429380820538069,1,-12.840124
25785334,429380850090621,429380850090621,429380866757287,429380835340600,1,-14.750021
25785359,429380883521118,429380883521118,429380900187784,429380869916040,1,-13.605078
25785390,429380916930686,429380916930686,429380933597352,429380902055566,1,-14.875120
25785427,429380950359965,429380950359965,429380967026631,429380937344384,1,-13.015581
25785452,429380983784204,429380983784204,429381000450870,429380970470686,1,-13.313518
25785465,429381000494275,429381000494275,429381017160941,429380986752913,1,-13.741362
25785478,429381017200727,429381017200727,429381033867393,429381002183496,1,-15.017231
25785491,429381033925693,429381033925693,429381050592359,429381020857161,1,-13.068532
25785504,429381050627353,429381050627353,429381067294019,429381035678613,1,-14.948740
25785517,429381067330750,429381067330750,429381083997416,429381052372623,1,-14.958127
25785530,429381084075154,429381084075154,429381100741820,429381070978092,1,-13.097062
25785543,429381100787571,429381100787571,429381117454237,429381087767358,1,-13.020213
25785556,429381117485322,429381117485322,429381134151988,429381102711694,1,-14.773628
25785569,429381134198590,429381134198590,429381150865256,429381119283187,1,-14.915403
25785582,429381150906203,429381150906203,429381167572869,429381137486881,1,-13.419322
25785595,429381167622350,429381167622350,429381184289016,429381154418969,1,-13.203381
25785608,429381184327868,429381184327868,429381200994534,429381169824446,1,-14.503422
25785621,429381201036847,429381201036847,429381217703513,429381186063419,1,-14.973428
25785634,429381217749199,429381217749199,429381234415865,429381202735172,1,-15.014027
25785672,429381251172451,429381251172451,429381267839117,429381235965600,1,-15.206851
25785691,429381267879982,429381267879982,429381284546648,429381252729679,0,0.000000
25786934,429382955813902,429382955813902,429382972480568,429382941465032,1,-14.348870
25787929,429384309423632,429384309423632,429384326090298,429384294184067,1,-15.239565
25787954,429384339193592,429384339193592,429384355860258,429384326791001,0,0.000000
25787985,429384359434886,429384359434886,429384376101552,429384350996648,1,-8.438238
25788016,429384376105784,429384376105784,429384392772450,429384365078517,1,-11.027267
25788047,429384392764052,429384392764052,429384409430718,429384382399765,1,-10.364287
25788084,429384409435423,429384409435423,429384426102089,429384399767929,1,-9.667494
25788121,429384426430911,429384426430911,429384443097577,429384414186102,1,-12.244809
25788158,429384443188742,429384443188742,429384459855408,429384429923447,1,-13.265295
25788195,429384459910254,429384459910254,429384476576920,429384446552068,1,-13.358186
25788232,429384476621733,429384476621733,429384493288399,429384464565578,1,-12.056155
